subject_name,correlation,RMSE,mean_error
190521GongChangyang,-0.014,-60.0,-10.0
190521GongChangyang,0.119,-60.0,-6.0
190521GongChangyang,0.082,-60.0,-2.0
190521GongChangyang,0.618,-60.0,2.0
190521GongChangyang,0.916,-60.0,6.0
190521GongChangyang,-0.015,-56.0,-10.0
190521GongChangyang,-0.079,-56.0,-6.0
190521GongChangyang,-0.064,-56.0,-2.0
190521GongChangyang,0.626,-56.0,2.0
190521GongChangyang,0.842,-56.0,6.0
190521GongChangyang,-0.117,-52.0,-10.0
190521GongChangyang,-0.156,-52.0,-6.0
190521GongChangyang,0.189,-52.0,-2.0
190521GongChangyang,0.608,-52.0,2.0
190521GongChangyang,0.86,-52.0,6.0
absolute mean,0.3536666666666667,56.0,5.2
